sample	A.OX	AfsA	AMP.binding	ATd	Autoind_synth	Bacteriocin_II	Bacteriocin_IIc	Bacteriocin_IId	botH	bt1fas	CaiA	Chal_sti_synt_C	Chal_sti_synt_N	Condensation	cyanobactin_synth	cycdipepsynth	cypI	DOIS	DUF1205	DUF692	ectoine_synt	fabH	fom1	Glyco_transf_28	Glycos_transf_1	Glycos_transf_2	goadsporin_like	hglD	hglE	indsynth	IucA_IucC	Lactococcin	LANC_like	Lant_dehyd_C	Lant_dehyd_N	lasso	Linocin_M18	LipV	LmbU	Lycopene_cycl	melC	MGT	micJ25	mvd_mst	mvnA	NAD_binding_4	NapT7	novH	PF00067	PF00106	PF02441	PF04820	PF13561	PF13575	phosphonates	phytoene_synt	phzB	PKS_AT	PKS_KS	PP.binding	prnB	salQ	spcDK_like_cou	spcDK_like_glyc	strepbact	strK_like1	strK_like2	t2clf	t2fas	t2ks	t2ks2	tabtoxin	terpene_cyclase	Terpene_synth_C	thiostrepton	TIGR03651	TIGR03678	TIGR03731	TIGR03793	TIGR03795	TIGR03798	TIGR03882	TIGR03975	TIGR04363	ToyB	TunD	YcaO
sim_meta-126	368	7	14979	2	38	0	0	0	0	22	0	16	32	1661	0	6	0	3	0	115	48	825	14	183	2137	2227	1	9	47	26	116	0	53	6	3	0	34	1	3	34	0	135	25	0	0	1329	4	0	1217	3595	350	377	2160	33	44	274	2	909	723	638	0	18	1	0	0	0	0	17	1320	31	0	4	74	32	0	0	0	0	0	0	0	1	9	1	1	1	101
sim_meta-127	321	0	13960	6	34	0	0	0	0	0	0	40	31	890	0	3	0	0	0	173	16	646	38	177	1923	2019	0	21	58	78	66	0	32	29	3	0	55	1	3	18	0	90	14	0	0	1245	19	0	986	3421	253	409	1870	9	32	177	0	842	941	520	0	0	3	1	0	0	0	32	1205	47	0	0	42	42	0	0	0	0	0	0	6	0	0	0	0	1	116
sim_meta-128	348	1	12858	2	34	0	0	0	3	9	0	25	41	1168	0	7	0	0	0	99	37	884	0	194	2174	2333	0	24	43	0	50	0	63	43	6	0	37	0	7	36	0	201	31	0	0	1409	5	0	929	3289	270	329	1898	7	17	222	11	1154	1291	651	8	0	3	1	0	0	0	16	1162	29	0	1	46	61	0	5	0	0	0	0	0	0	12	0	0	0	168
sim_meta-129	123	0	10165	1	31	0	0	0	0	0	0	8	16	885	0	0	0	0	0	79	2	887	16	235	2980	3023	0	16	65	0	99	0	10	2	0	1	80	0	0	41	0	51	28	0	0	1543	2	0	504	2412	372	1104	1456	14	7	219	0	762	218	494	0	0	10	4	0	0	0	0	1475	2	0	0	70	7	0	0	0	0	0	0	16	3	1	0	0	3	106
sim_meta-13	322	0	12269	88	63	0	0	0	0	0	0	40	33	1051	19	0	0	0	0	113	11	851	0	234	2081	2436	0	55	79	0	181	0	1	4	0	0	29	0	0	19	0	164	42	0	0	1508	3	0	453	3214	314	411	2007	9	12	234	0	750	650	553	24	0	3	0	0	0	0	21	1618	1	12	0	50	8	0	3	0	0	0	0	5	0	1	0	0	1	173
sim_meta-130	269	1	13879	0	20	0	2	0	0	20	0	25	18	1104	0	0	0	1	0	106	12	723	1	233	1711	1842	2	10	28	10	49	0	33	9	2	0	28	1	1	25	0	131	13	0	1	1151	9	0	630	3557	269	461	2093	8	32	239	2	646	344	508	0	1	0	2	0	0	0	6	1177	10	0	3	30	6	0	1	0	1	0	6	2	2	3	0	0	0	120
sim_meta-131	253	0	14846	0	20	0	0	0	0	0	0	31	8	956	0	6	0	0	0	111	0	669	0	178	2180	2373	0	0	81	42	27	7	84	65	9	0	11	0	7	23	0	162	10	0	0	1267	16	0	860	3628	304	364	1814	12	20	263	0	1067	1050	575	0	0	2	1	0	0	0	32	1316	80	0	1	59	43	0	5	0	2	0	12	0	1	0	0	0	5	194
sim_meta-132	334	0	12231	138	44	0	0	0	0	4	0	26	42	917	6	0	0	0	0	72	28	697	6	193	2152	2501	0	37	67	0	133	0	7	9	2	0	17	0	0	7	0	116	43	2	0	1438	3	0	514	3473	280	255	1870	0	12	220	3	737	1027	623	0	0	2	6	0	0	0	0	1339	4	20	0	33	22	0	9	0	0	0	5	2	8	0	0	0	0	253
sim_meta-133	229	2	13012	141	54	0	1	0	0	12	0	18	40	1786	39	0	0	0	0	65	9	674	0	222	2275	2481	0	70	59	0	147	2	18	4	1	0	36	0	0	5	0	88	11	0	0	1494	0	0	254	2899	339	387	1590	0	35	312	0	671	919	747	0	0	2	2	0	0	0	0	1200	0	29	0	99	1	0	2	0	0	0	0	0	0	1	0	0	0	160
sim_meta-134	482	16	19655	4	73	0	0	0	0	54	0	22	51	3111	0	0	0	3	0	150	22	822	0	182	2371	2306	0	8	51	85	60	0	8	0	0	0	71	0	0	67	0	235	11	0	0	1420	14	0	1488	4458	292	538	2300	2	81	356	3	723	299	837	0	31	3	1	0	0	0	0	1338	2	0	0	90	32	0	0	0	0	0	0	0	0	0	0	1	0	48
