sample	A.OX	AfsA	AMP.binding	ATd	Autoind_synth	Bacteriocin_II	Bacteriocin_IIc	Bacteriocin_IId	botH	bt1fas	CaiA	Chal_sti_synt_C	Chal_sti_synt_N	Condensation	cyanobactin_synth	cycdipepsynth	cypI	DOIS	DUF1205	DUF692	ectoine_synt	fabH	fom1	Glyco_transf_28	Glycos_transf_1	Glycos_transf_2	goadsporin_like	hglD	hglE	indsynth	IucA_IucC	Lactococcin	LANC_like	Lant_dehyd_C	Lant_dehyd_N	lasso	Linocin_M18	LipV	LmbU	Lycopene_cycl	melC	MGT	micJ25	mvd_mst	mvnA	NAD_binding_4	NapT7	novH	PF00067	PF00106	PF02441	PF04820	PF13561	PF13575	phosphonates	phytoene_synt	phzB	PKS_AT	PKS_KS	PP.binding	prnB	salQ	spcDK_like_cou	spcDK_like_glyc	strepbact	strK_like1	strK_like2	t2clf	t2fas	t2ks	t2ks2	tabtoxin	terpene_cyclase	Terpene_synth_C	thiostrepton	TIGR03651	TIGR03678	TIGR03731	TIGR03793	TIGR03795	TIGR03798	TIGR03882	TIGR03975	TIGR04363	ToyB	TunD	YcaO
sim_meta-27	316	2	12841	0	75	0	0	0	0	27	0	29	23	904	0	0	0	0	0	139	15	782	0	185	2010	2218	5	31	33	0	136	0	27	6	1	0	39	0	1	29	0	142	15	0	0	1397	2	0	754	3464	291	480	2144	0	35	242	6	673	311	450	10	0	3	4	0	0	0	13	1320	11	0	0	78	18	0	1	0	0	2	0	0	0	3	0	4	6	144
sim_meta-28	154	0	12613	0	45	0	0	0	0	5	0	25	41	1080	0	0	0	0	0	92	50	795	0	194	1801	2109	0	0	0	0	96	0	6	0	0	0	24	0	0	14	0	46	29	0	0	1234	0	0	569	3685	288	459	2553	0	0	297	0	592	233	412	0	0	3	1	0	0	0	16	1929	2	0	0	87	0	0	5	0	0	0	0	0	0	0	0	0	0	187
sim_meta-29	615	10	18829	3	26	0	1	0	0	14	0	56	35	2293	0	2	0	1	0	120	19	645	0	182	1765	2510	1	0	55	39	99	4	95	8	2	0	14	3	12	33	0	357	14	0	0	1224	16	0	3105	4319	278	492	2174	33	0	27	29	920	1018	725	0	8	1	0	0	0	0	74	1203	105	0	8	8	147	0	4	0	0	0	0	0	0	41	0	4	0	223
sim_meta-3	133	0	11223	0	28	0	0	0	0	0	0	23	19	187	0	0	0	0	0	230	5	701	0	226	1859	2298	0	30	32	0	58	0	42	0	0	0	8	0	0	37	0	40	19	0	0	1261	2	0	320	3320	353	508	1985	0	0	276	0	601	99	329	0	0	8	0	0	1	0	0	1411	7	0	4	45	1	0	15	0	0	0	0	0	0	0	0	8	3	203
sim_meta-30	227	5	16816	0	31	0	0	0	0	26	0	7	7	2132	0	0	0	0	0	159	9	881	0	198	1762	1968	14	0	12	0	46	3	44	40	13	0	58	0	0	56	0	181	26	0	0	1423	1	0	1143	3688	295	301	2154	0	0	317	11	1497	1544	851	0	0	0	0	0	0	0	22	1392	13	0	0	46	63	0	8	0	0	0	17	0	10	19	0	2	6	215
sim_meta-31	234	4	10839	167	60	0	0	0	0	0	0	6	13	792	36	0	0	0	0	64	1	759	9	193	1875	1952	0	39	52	0	116	0	3	1	0	0	36	0	0	12	0	158	50	0	0	1373	3	0	305	2882	348	236	1807	7	31	191	0	615	695	462	0	0	1	5	0	0	0	0	1385	7	26	0	34	0	0	9	0	0	0	0	3	0	0	0	0	0	258
sim_meta-32	682	5	18008	0	35	0	0	0	0	28	0	26	32	3280	0	4	0	1	0	137	15	738	13	191	1722	2148	0	26	57	54	91	0	27	5	1	0	27	0	6	67	0	223	10	0	0	1288	15	1	1939	4408	272	364	2402	17	0	133	9	1043	945	932	0	11	3	4	0	0	1	36	1416	58	0	1	19	80	0	1	0	0	0	0	0	0	19	0	2	4	157
sim_meta-33	234	0	15976	31	44	0	0	0	0	31	0	31	23	1966	0	1	0	0	0	223	9	702	0	200	2336	2167	0	26	65	27	59	0	29	6	0	0	31	0	0	39	0	129	22	2	0	1318	7	0	1060	3396	278	592	1646	2	37	232	3	1258	1643	773	15	1	3	2	0	0	0	17	1338	34	0	1	23	46	0	2	0	0	0	12	0	9	0	0	0	0	167
sim_meta-34	375	4	17331	3	45	0	0	0	0	33	0	13	22	2158	0	0	0	0	0	91	37	782	0	191	1961	2011	15	18	52	0	53	0	37	29	4	0	27	0	0	47	0	111	23	0	0	1201	4	0	1250	4100	289	457	2281	37	6	305	4	1190	1185	788	7	4	2	1	0	2	0	20	1375	37	0	1	26	46	0	2	0	0	1	8	3	2	19	0	0	11	145
sim_meta-35	214	0	9594	1	29	0	0	0	0	18	0	30	39	1034	2	0	0	0	0	116	10	700	5	168	2306	2851	0	29	75	16	111	6	33	62	15	0	21	0	0	29	0	81	16	0	8	1402	0	0	406	2556	289	500	1532	2	9	206	0	655	325	460	13	7	0	2	0	0	0	1	1360	4	0	0	76	5	0	1	0	0	0	0	5	14	7	0	0	0	193
sim_meta-36	138	0	10753	0	48	0	0	0	1	15	0	17	23	726	12	0	0	0	1	210	25	722	2	200	2006	2165	0	3	7	0	91	0	15	0	0	0	30	0	0	46	0	157	9	0	0	1250	0	0	379	2918	279	575	1866	3	8	218	2	603	186	384	0	0	2	2	0	1	0	6	1274	6	0	0	32	2	0	5	0	0	0	0	2	3	0	0	2	0	97
sim_meta-37	242	0	13573	0	75	0	1	0	0	19	0	5	10	1310	0	0	0	0	0	135	15	689	0	222	2112	2179	0	5	5	0	89	0	17	11	2	0	36	0	0	32	0	74	20	0	0	1416	1	0	633	3348	335	547	1967	17	20	237	1	730	388	563	0	0	0	1	0	3	0	0	1504	6	0	0	68	4	0	8	0	0	0	0	0	0	5	0	0	0	167
sim_meta-38	338	13	14884	0	32	0	0	0	0	21	0	33	13	2379	4	0	0	0	0	93	26	766	1	222	2061	2335	18	7	38	12	46	0	34	0	0	0	44	0	0	98	0	186	27	1	3	1365	5	0	1092	3807	334	431	2209	37	6	351	0	1005	790	767	0	0	2	0	0	0	0	23	1465	27	0	2	65	29	0	8	1	0	0	0	10	9	0	0	0	24	201
sim_meta-39	463	2	18561	20	47	0	0	0	0	21	0	24	29	2520	0	4	0	1	0	109	11	709	1	197	2038	2104	0	9	50	64	56	0	48	2	3	0	46	0	5	46	0	291	20	4	0	1227	16	0	1946	4237	270	321	2084	25	48	249	12	1255	1443	934	0	8	1	1	0	0	0	49	1247	79	0	3	67	99	0	1	0	0	0	0	3	5	10	0	0	5	131
sim_meta-4	224	0	12641	1	21	0	0	0	0	17	0	14	10	630	1	2	0	0	0	135	18	705	0	205	1990	1987	2	20	68	72	47	0	29	14	3	0	27	1	5	12	0	102	12	0	0	1314	5	0	713	3095	334	337	1763	7	11	242	2	771	663	431	0	0	0	3	0	0	0	31	1166	29	0	0	33	17	0	5	0	0	0	0	2	0	4	0	0	0	161
sim_meta-40	199	0	12113	0	44	0	0	0	0	4	0	25	44	691	3	0	0	0	0	134	18	730	0	217	2183	1982	0	6	18	0	80	0	43	1	0	0	53	0	0	19	0	114	21	0	0	1370	3	0	526	2728	325	428	1725	35	1	268	0	652	266	372	0	0	1	1	0	0	0	0	1177	3	0	5	51	0	0	6	0	0	0	0	10	0	0	0	1	0	137
sim_meta-41	467	13	18818	0	18	0	1	0	0	42	0	34	35	4071	0	0	0	2	0	103	17	991	5	187	2618	2484	0	28	128	104	71	0	24	16	1	0	54	0	0	165	0	225	18	0	0	1386	3	0	1402	4005	254	679	2098	0	22	204	0	859	417	1005	0	35	6	1	0	0	0	3	1410	7	0	0	38	60	0	3	0	2	0	0	0	0	0	0	0	1	71
sim_meta-42	395	2	17181	16	22	0	0	0	0	14	0	48	43	2009	0	0	0	0	0	135	15	673	4	193	1970	1880	0	11	36	54	56	0	38	17	1	0	22	0	3	47	0	157	20	1	0	1284	2	0	1374	3792	255	298	2061	14	18	186	12	964	924	703	0	17	3	1	0	0	0	12	1175	19	0	4	28	49	0	3	0	0	0	5	2	4	4	0	2	0	161
sim_meta-43	288	0	12320	0	36	0	1	0	0	14	0	14	19	990	0	0	0	0	0	135	13	773	6	203	2626	2870	0	9	11	0	110	0	2	1	0	0	43	0	0	48	0	133	15	0	0	1358	2	0	370	3080	315	658	1915	0	24	305	0	507	104	414	0	0	7	3	0	0	0	7	1220	5	0	0	46	0	0	2	0	0	0	4	3	0	0	0	0	0	83
sim_meta-44	285	7	14582	1	20	0	0	0	0	8	0	31	36	1489	0	7	1	0	0	127	20	734	2	176	2117	2408	8	32	110	27	53	8	29	1	0	0	28	0	2	62	0	163	18	0	0	1278	10	0	1142	3938	281	499	2051	14	12	205	0	1112	1071	640	0	0	2	0	0	1	0	31	1261	77	0	0	46	49	0	6	0	0	2	0	0	0	0	0	0	10	116
sim_meta-45	170	0	11399	27	49	0	0	0	0	3	0	23	17	981	4	0	0	0	0	220	3	665	0	203	2337	2474	0	36	78	9	107	4	47	19	7	0	0	0	0	30	0	107	24	6	0	1321	0	0	729	2700	319	448	1465	25	18	213	6	896	866	551	0	0	2	0	0	0	0	3	1380	3	0	1	101	26	0	2	1	0	0	0	5	6	1	0	3	0	282
sim_meta-46	169	0	13308	3	37	0	0	0	0	0	0	9	14	748	0	6	0	0	0	90	28	705	0	194	2811	2805	2	21	73	0	153	0	35	13	2	0	20	0	5	1	0	112	21	0	0	1323	7	0	643	2749	389	351	1786	16	10	290	7	924	782	547	0	0	3	0	0	0	0	25	1390	30	0	1	94	21	0	2	0	0	0	0	2	0	5	0	1	1	265
sim_meta-47	242	0	14211	0	44	0	0	0	1	11	0	11	22	1518	0	4	0	0	0	135	15	720	1	181	1935	1770	0	11	22	75	75	0	33	21	6	0	37	0	4	34	0	134	20	0	0	1288	10	1	955	3365	272	319	1821	14	11	253	12	1124	1254	676	0	0	0	1	0	0	0	31	1297	54	0	0	27	60	0	0	0	0	0	1	5	1	9	0	0	3	199
sim_meta-48	456	0	14193	1	65	0	0	0	0	30	0	10	23	1541	28	0	0	0	0	124	21	630	0	239	1998	2196	0	0	0	0	86	0	9	0	0	0	87	0	0	53	0	105	9	0	0	1213	3	0	661	3615	298	216	1971	6	26	318	0	551	210	497	0	0	0	0	0	0	0	2	1320	18	0	0	89	0	0	3	0	0	0	0	7	8	3	0	0	1	202
sim_meta-49	212	0	10359	117	40	0	0	0	0	1	0	49	40	802	25	0	0	0	0	14	2	869	0	203	2504	2732	0	84	89	0	104	0	41	27	3	0	14	0	0	28	0	43	52	0	0	1399	0	0	380	2992	328	405	2109	7	0	150	0	697	768	564	0	0	5	0	0	0	0	0	1320	5	21	0	91	2	0	2	0	3	0	0	3	0	0	0	0	1	152
sim_meta-5	177	0	10693	102	24	0	0	0	0	0	0	29	37	1298	16	0	0	0	0	178	13	814	0	192	2167	2223	0	23	42	0	67	0	34	45	11	0	40	0	0	38	0	143	25	0	0	1259	0	0	716	2956	310	509	1947	0	0	254	6	1372	1534	738	0	0	5	0	0	1	0	14	1371	11	27	0	47	45	0	4	0	0	0	0	2	0	10	0	0	0	230
sim_meta-50	204	0	10884	2	45	0	0	0	0	6	0	23	18	812	1	0	0	0	0	101	2	819	0	234	2358	2532	0	4	40	0	78	0	43	2	0	0	23	0	0	52	0	188	21	0	0	1341	10	0	386	2715	302	530	1801	43	26	167	0	554	228	422	0	0	3	1	0	0	0	0	1393	13	0	0	15	10	0	1	0	0	0	11	1	0	1	0	0	0	150
sim_meta-51	288	0	14980	39	26	0	0	1	0	0	0	32	36	1253	6	6	0	0	0	102	45	764	0	235	2326	2186	6	13	45	3	90	0	131	50	12	0	24	0	16	7	0	220	33	4	0	1214	6	0	1314	3771	321	348	2210	38	17	234	4	1349	1705	633	0	0	4	3	0	0	0	49	1238	67	5	3	59	60	0	0	0	1	0	0	2	5	12	1	0	2	187
sim_meta-52	544	20	25842	360	78	0	0	0	0	49	0	39	50	4286	43	0	0	0	0	140	25	719	3	190	2042	1802	25	67	112	13	82	0	38	22	8	0	80	0	0	122	0	249	15	11	0	1336	11	0	2453	5948	237	426	2967	5	43	406	9	1493	3176	1458	0	0	6	2	0	0	0	34	1280	41	45	11	94	115	0	5	0	1	0	5	4	27	0	0	0	26	312
sim_meta-53	185	0	13679	21	48	0	0	0	0	0	0	15	21	1556	0	0	0	0	0	143	12	774	10	186	2430	2558	0	56	73	1	103	0	15	12	0	0	3	0	0	25	0	99	18	1	0	1382	2	0	602	2931	344	365	1735	4	20	231	4	799	697	679	9	0	0	4	0	0	0	0	1632	3	0	0	38	26	0	2	0	0	0	0	6	3	0	0	0	0	249
sim_meta-54	233	0	11937	150	57	0	2	0	0	2	0	28	35	895	28	0	0	0	0	84	13	753	0	206	2567	2562	0	37	85	5	126	0	12	0	0	0	23	0	0	14	0	111	23	0	0	1508	0	0	560	2966	336	550	1819	30	7	249	0	796	882	561	0	0	1	0	0	0	0	10	1600	1	16	0	54	4	0	4	2	0	1	0	10	0	0	0	1	1	203
sim_meta-55	414	2	15131	33	67	0	1	0	0	19	0	9	14	2111	13	0	0	0	0	154	24	737	16	235	2342	2453	0	29	56	0	88	0	11	0	0	0	37	0	0	32	0	116	27	0	0	1332	8	0	601	3663	306	764	2161	15	15	188	0	712	513	655	14	0	4	1	0	0	0	0	1433	7	9	0	39	7	0	6	0	0	0	7	1	3	0	0	0	0	97
sim_meta-56	405	0	14369	124	35	0	0	0	0	15	0	24	26	1039	0	5	0	0	0	167	7	732	0	175	2050	2179	0	16	46	46	120	3	50	5	2	0	99	0	6	22	0	164	25	4	0	1425	11	0	952	3850	270	296	1871	30	49	243	5	1029	1515	579	0	0	0	1	0	0	0	20	1234	62	16	1	45	64	0	6	0	0	0	5	2	9	3	0	3	3	245
sim_meta-57	293	7	13614	107	37	0	0	0	0	4	0	37	41	720	22	2	0	0	0	38	5	674	0	186	2373	2513	0	42	76	0	117	0	41	33	6	0	41	0	2	63	2	79	33	0	0	1309	0	0	463	3506	326	193	2259	16	50	299	0	714	718	514	0	0	3	1	0	0	0	19	1317	20	10	0	117	17	0	10	0	1	0	0	0	0	0	0	3	1	181
sim_meta-58	183	0	9121	7	30	0	0	0	0	14	0	21	35	256	13	0	0	0	0	95	26	680	6	253	2484	2642	0	17	25	12	86	1	24	3	2	0	61	0	0	21	0	181	10	2	0	1375	7	0	300	2279	365	577	1619	28	3	173	0	669	230	326	0	0	1	1	0	0	0	8	1364	3	0	0	57	0	0	2	1	0	0	0	7	2	1	0	0	0	228
sim_meta-59	198	0	14960	0	64	0	0	0	0	0	0	15	9	740	0	0	0	0	0	50	11	623	0	216	2179	2163	0	0	0	0	119	0	1	0	0	0	43	0	0	12	0	44	45	0	0	1321	3	0	415	2923	313	229	1839	1	0	335	0	578	143	481	0	0	1	2	0	0	0	0	1521	3	0	0	128	0	0	0	0	0	1	13	0	13	0	0	0	0	120
sim_meta-6	285	3	13201	0	35	0	0	0	0	12	0	34	33	1238	0	0	0	1	0	105	19	666	1	176	2057	2356	0	4	25	34	68	2	25	12	2	0	48	0	0	29	1	99	18	0	0	1322	1	0	710	3041	305	352	1645	4	24	148	0	566	351	462	0	3	3	2	0	0	0	4	1246	21	0	0	89	12	0	6	0	0	0	0	0	0	0	0	2	3	181
sim_meta-60	272	0	11193	0	42	0	0	0	0	0	0	12	11	596	0	0	0	0	0	75	9	737	16	195	2155	2283	0	16	31	19	86	0	16	17	2	0	78	0	0	13	0	73	17	0	0	1292	2	0	323	2972	313	320	1911	2	45	271	0	563	165	373	0	0	0	0	0	0	0	0	1276	3	0	1	85	0	0	2	0	1	1	4	5	2	4	0	2	0	180
sim_meta-61	262	6	11682	0	43	0	0	0	0	10	0	16	26	1235	0	0	0	0	0	81	16	671	0	222	2491	2853	8	1	87	0	20	4	31	36	6	0	50	0	0	29	0	152	14	0	0	1512	1	0	636	3036	307	581	1784	0	18	210	0	839	557	497	0	0	2	0	0	0	0	6	1044	11	0	0	70	15	0	2	0	1	0	6	2	0	0	0	0	7	103
sim_meta-62	181	2	12133	1	49	0	0	0	0	5	0	8	16	789	30	0	0	0	1	94	6	795	9	191	1940	2448	0	43	69	0	119	4	10	1	0	0	38	0	0	18	0	66	26	0	0	1370	1	0	571	2924	310	566	1726	6	19	179	0	676	299	431	18	0	2	0	0	0	0	0	1619	3	0	0	42	8	0	1	0	0	0	10	3	6	0	0	0	0	188
sim_meta-63	320	0	13179	5	56	0	0	0	0	6	0	11	17	1215	2	3	0	0	0	79	21	613	0	215	2300	2205	1	20	41	0	103	0	82	12	4	0	15	1	7	27	0	194	30	0	1	1383	6	0	1008	3480	339	296	2109	31	13	270	9	933	886	623	14	0	3	3	0	0	0	28	1358	66	0	0	69	30	0	2	0	0	0	0	1	7	4	0	0	0	169
sim_meta-64	212	3	11102	0	28	0	0	0	0	4	0	36	37	1199	1	0	0	2	0	114	13	776	0	189	1764	2054	0	0	43	127	36	0	1	0	0	0	13	0	0	59	0	121	18	0	0	1301	1	0	734	3631	253	236	2425	0	6	290	0	597	245	441	0	16	0	0	0	0	0	4	1201	5	0	1	30	8	0	4	0	0	0	14	0	0	0	0	2	1	90
sim_meta-65	210	0	11366	0	19	0	0	0	0	0	0	53	69	1236	0	0	0	0	0	163	24	858	0	222	2255	2559	0	11	35	0	17	0	12	0	0	0	40	0	0	33	0	62	7	0	0	1371	0	1	342	2950	308	485	1921	16	5	199	12	583	96	538	0	0	3	3	0	0	0	0	1830	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	198
sim_meta-66	223	0	11585	63	40	0	1	0	0	5	0	13	28	1599	3	0	0	0	0	119	10	724	3	174	2141	2252	0	39	82	0	131	0	21	31	5	0	23	0	0	16	0	101	14	6	0	1469	2	0	440	2871	251	494	1594	6	19	135	0	690	739	603	13	8	2	4	0	4	0	2	1359	6	5	0	46	24	0	8	0	0	0	0	6	8	27	0	1	0	218
sim_meta-67	427	2	12565	1	33	0	0	0	0	0	0	23	15	727	28	1	0	0	3	91	4	789	10	190	2067	2580	0	26	44	26	82	0	27	2	0	0	17	0	4	30	0	124	10	0	0	1348	4	0	1563	3509	290	431	2147	16	4	185	8	643	423	346	6	0	0	2	0	0	0	20	1258	26	0	1	66	46	0	1	0	0	0	0	0	6	12	0	0	1	102
sim_meta-68	296	5	15252	124	26	0	1	0	2	5	0	39	46	1609	0	0	0	0	0	205	17	807	0	174	2071	2137	0	53	92	12	115	0	34	5	3	0	30	0	0	18	0	88	13	10	0	1323	2	0	915	3449	262	574	1774	9	44	219	9	910	1581	743	0	4	0	3	0	1	0	3	1223	9	15	1	44	58	0	0	0	0	0	0	0	12	0	0	0	0	218
sim_meta-69	395	1	13050	181	46	0	0	0	2	15	0	32	38	1907	36	0	0	0	0	63	29	753	0	242	2301	2412	0	43	59	0	150	0	20	44	7	0	20	0	0	20	0	98	29	0	0	1425	7	0	444	3602	324	599	2121	11	12	233	0	794	1197	736	0	13	0	3	0	0	0	0	1292	8	31	0	57	16	0	4	0	1	0	0	0	0	46	0	2	1	208
sim_meta-7	368	0	9746	0	13	0	0	0	0	11	0	23	28	946	0	2	0	0	0	160	2	778	0	264	2140	2504	0	63	57	24	146	0	54	26	4	0	37	0	0	37	0	126	33	0	0	1436	11	0	465	2878	348	403	1657	4	11	145	0	873	641	528	32	0	2	1	0	0	0	16	1544	31	0	1	11	35	0	3	0	1	0	0	6	0	0	0	0	2	174
sim_meta-70	258	0	10931	0	73	0	0	0	0	0	0	25	27	755	0	0	0	0	0	103	2	892	0	173	2380	2714	0	98	89	0	125	2	80	0	0	0	40	0	0	46	0	68	5	0	0	1623	0	0	499	3183	314	465	1773	58	77	279	0	609	280	452	38	0	1	0	0	0	0	0	1386	11	0	0	62	11	0	2	0	0	0	0	0	1	7	0	0	0	72
sim_meta-71	257	0	13079	0	41	0	0	0	0	38	0	22	56	1025	0	0	0	0	0	116	5	752	0	208	2237	2351	0	19	33	31	45	2	41	38	6	0	68	0	0	48	0	14	13	0	0	1575	0	0	412	2701	345	339	1692	2	45	217	0	567	348	438	0	0	1	1	0	0	0	0	1218	4	0	4	51	0	0	0	0	1	0	0	11	0	0	0	1	0	80
sim_meta-72	359	4	15751	7	52	0	0	0	0	0	0	34	34	765	0	8	2	0	0	89	22	708	0	193	1850	1904	0	11	28	0	102	0	23	5	0	0	37	0	2	32	1	111	26	3	0	1271	5	0	893	3875	322	406	2368	12	39	312	2	723	555	449	0	0	3	0	0	0	0	19	1245	22	0	1	48	36	0	2	0	0	1	0	3	4	0	0	2	0	152
sim_meta-73	157	0	11711	1	71	0	0	0	0	0	0	12	14	752	0	0	0	0	0	109	12	663	5	193	2112	2201	0	0	0	47	152	6	10	7	1	0	23	0	0	0	0	148	32	0	0	1343	0	0	479	3193	333	281	2027	1	13	267	0	599	280	405	0	0	2	4	0	0	1	0	1220	2	0	0	54	0	0	3	0	0	2	0	0	0	0	0	0	0	171
sim_meta-74	152	0	11632	40	70	0	0	0	0	8	0	9	16	989	12	0	0	0	0	136	6	707	0	229	2344	2308	0	24	25	9	89	1	0	0	0	0	28	0	0	22	0	43	36	0	0	1361	0	0	307	2865	340	617	1972	0	30	260	0	637	431	453	11	0	2	0	0	0	0	0	1260	2	5	0	41	4	0	2	0	0	0	0	0	0	0	0	0	1	157
sim_meta-75	324	0	10543	0	49	0	0	0	0	31	0	64	75	1447	0	0	0	0	0	116	22	722	0	222	2325	2638	0	4	18	0	36	0	18	1	0	0	0	0	0	31	0	73	50	0	2	1396	1	0	676	3163	321	397	2120	23	15	190	0	690	319	461	0	0	10	1	0	0	0	0	1331	3	0	0	38	2	0	2	0	0	0	0	16	12	0	0	6	0	266
sim_meta-76	211	0	10791	0	48	0	0	0	0	4	0	21	20	446	0	0	0	0	0	97	18	662	13	209	2250	2197	0	13	16	0	99	4	32	0	0	0	17	0	0	35	0	104	20	0	0	1281	4	0	391	2882	377	255	1977	13	15	167	0	587	105	373	0	0	1	1	0	0	0	0	1448	8	0	0	45	0	0	5	0	0	0	0	0	0	2	0	2	1	112
sim_meta-77	388	3	14763	1	25	0	0	0	2	0	0	40	38	1887	0	0	0	0	0	177	10	739	0	191	2236	2489	0	15	22	0	163	0	39	0	0	0	32	0	3	13	0	122	20	0	0	1316	4	0	1044	3374	301	662	1920	14	36	200	21	564	283	615	22	0	0	1	0	0	0	17	1290	38	0	0	75	58	0	2	0	0	0	0	0	0	11	0	0	0	87
sim_meta-78	294	3	12119	3	38	0	1	0	0	0	0	16	8	767	0	1	0	0	0	122	16	701	7	217	2014	2088	0	21	20	0	130	0	10	0	0	0	21	0	0	3	0	122	15	0	0	1247	1	0	403	3379	359	485	2201	2	21	267	0	590	209	378	11	0	8	1	0	0	0	26	1560	7	0	0	68	19	0	7	0	0	0	21	2	13	0	0	0	1	213
sim_meta-79	267	0	14435	190	27	0	0	0	0	1	0	41	31	655	0	0	0	0	0	122	7	797	32	174	2387	2254	0	34	50	0	85	0	45	7	2	0	62	0	0	19	0	94	19	10	0	1340	9	0	862	3363	260	311	1987	54	38	270	8	692	1214	558	0	0	1	0	0	0	0	1	1138	5	20	1	27	40	0	0	0	0	1	0	0	6	1	0	1	0	198
sim_meta-8	291	4	12606	0	41	0	3	0	0	15	0	7	7	1642	0	1	0	0	0	203	35	784	30	201	2333	2926	0	37	56	0	115	2	22	0	0	0	3	0	1	29	0	100	21	0	0	1428	5	0	554	2869	362	385	1705	39	27	207	0	691	288	582	19	0	2	4	0	0	0	3	1382	13	0	0	60	15	0	5	0	0	0	0	2	0	0	0	0	0	162
sim_meta-80	273	0	11323	4	23	0	0	0	1	14	0	20	13	506	0	0	0	0	0	183	18	735	10	216	2359	2269	0	23	44	0	106	0	7	2	0	0	28	0	0	32	0	88	23	0	0	1348	0	0	322	2991	317	344	1624	0	0	132	0	572	112	351	0	0	3	1	0	0	0	0	1425	4	0	0	51	0	0	17	0	0	0	0	6	0	0	0	1	1	127
sim_meta-81	211	0	14414	2	84	0	0	0	0	0	1	13	32	870	3	0	0	0	0	91	31	552	0	184	2328	1995	0	6	9	29	262	1	20	11	2	0	26	0	0	16	0	69	22	0	0	1364	2	0	524	3598	350	401	2571	0	55	445	0	577	365	437	0	0	0	1	0	0	0	0	1383	1	0	0	70	0	0	5	0	0	0	0	0	0	0	0	0	1	258
sim_meta-82	248	0	13929	7	4	0	0	1	0	0	0	35	35	844	0	6	0	0	0	84	40	702	0	168	2468	2151	0	20	73	40	34	2	81	54	4	0	38	2	5	14	0	209	39	0	0	1268	14	0	780	3574	319	298	2285	18	3	218	0	1052	991	469	0	0	1	0	0	0	0	22	1205	64	0	0	27	38	0	0	0	1	0	0	0	0	0	0	0	3	106
sim_meta-83	392	11	11748	1	91	0	0	0	0	0	0	37	42	1551	0	0	0	0	0	82	4	756	0	201	1698	1908	0	59	70	23	131	0	37	14	1	0	41	0	0	133	0	148	50	0	0	1558	0	0	513	4096	292	848	2870	27	123	279	0	696	364	567	60	0	0	0	0	0	0	15	1590	2	0	0	34	23	0	11	0	0	0	0	0	0	0	0	2	0	163
sim_meta-84	283	2	12795	1	30	0	0	0	0	10	0	19	18	1121	0	0	0	0	0	133	7	745	7	211	2248	2310	0	27	30	0	143	1	31	7	3	0	52	0	2	27	0	142	33	0	0	1516	6	0	959	3234	326	693	1784	17	12	98	8	654	216	501	13	0	2	4	0	0	0	16	1288	16	0	1	9	42	0	1	0	0	0	0	0	0	9	0	0	0	166
sim_meta-85	158	2	13664	2	55	0	0	0	0	0	0	19	17	1581	15	0	0	0	1	116	8	845	0	203	2001	2497	0	15	16	50	71	1	91	65	12	0	32	0	0	36	0	102	21	5	0	1451	0	1	989	2820	302	694	1777	61	24	272	3	1011	924	670	0	0	1	1	0	1	0	2	1280	5	0	0	42	18	0	7	1	0	0	13	6	12	10	0	0	2	149
sim_meta-86	210	0	12767	14	52	0	0	0	0	0	0	24	39	1318	2	0	0	0	0	171	18	685	0	183	1792	1913	0	40	63	1	95	0	14	5	4	0	6	0	1	13	0	99	16	3	0	1335	2	0	790	3223	245	474	1930	4	24	182	9	749	806	556	22	0	1	3	0	0	0	2	1354	5	0	2	39	26	0	3	0	0	0	0	2	4	1	0	0	0	201
sim_meta-87	308	4	13063	0	21	0	0	0	0	0	0	10	5	947	0	0	0	0	0	112	1	661	34	185	1726	2030	0	65	59	0	53	5	13	0	0	0	47	0	0	16	0	115	8	0	0	1306	9	0	525	3359	347	637	1927	0	81	239	0	586	198	431	28	0	2	0	0	0	0	14	1377	6	0	0	33	9	0	2	0	0	0	22	0	8	0	0	0	0	167
sim_meta-88	305	0	16174	84	89	0	0	0	0	4	0	14	19	1869	3	0	0	0	0	173	24	659	0	165	1877	1964	0	94	100	2	111	0	24	15	4	0	1	0	0	3	0	159	21	5	0	1537	1	0	947	3925	271	424	2007	0	56	266	4	1019	1286	769	45	0	1	1	0	0	0	0	1492	3	9	2	55	58	0	7	0	1	0	8	0	11	0	0	0	0	249
sim_meta-89	257	0	13798	8	23	0	0	0	0	0	0	37	27	529	0	0	0	0	0	165	9	702	0	214	2584	2641	0	0	0	0	66	0	13	0	0	0	71	0	0	37	0	110	53	0	0	1388	4	0	400	3322	293	233	2349	0	20	316	0	579	285	307	0	0	0	0	0	0	0	0	1018	5	0	0	33	7	0	2	0	0	0	0	3	0	0	0	1	1	179
sim_meta-9	171	0	12576	2	51	0	0	0	0	12	0	16	19	675	0	0	0	0	0	120	0	896	0	228	2406	2883	0	3	5	0	80	0	10	0	0	0	37	0	0	60	0	19	13	0	0	1520	0	0	436	3209	321	569	2045	0	37	286	0	610	359	404	0	0	4	0	0	0	0	8	1463	2	0	0	72	0	0	4	0	0	0	0	2	0	0	0	0	1	123
